nct_id,title,desc,cond,intv,phase,type,status,start,end,sponsor,enroll,age,url,spinal,first_seen,sem,comb,new_this_run
NCT07295067,Extracellular Vesicles for the Treatment of Syringomyelia,"This is a open-label, single-arm, dose escalation phase I clinical trial. The goal of this clinical trial is to evaluate the safety and preliminary efficacy of Intrathecal injection human umbilical cord-derived mesenchymal stromal cell-derived extracellular vesicle (hUC-MSC-sEV) in syringomyelia.",Syringomyelia,Exosomes group,PHASE1,,RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT07295067,0,2025-12-28 13:48:03,0.6537,0.6537,NO
NCT07232563,Exploratory Study of Intranasal Administration of Human Umbilical Cord Mesenchymal Stem Cell-Derived Extracellular Vesicles for the Treatment of Ischemic Stroke,Evaluation of the Safety and Preliminary Efficacy of Intranasal Administration of Human Umbilical Cord Mesenchymal Stem Cell-Derived Small Extracellular Vesicles (hUC-MSC-sEV-001) in Patients for Ischemic Stroke,Ischemic Stroke,Intranasal Administration of Human Umbilical Cord Mesenchymal Stem Cell-Derived Small Extracellular Vesicles (hUC-MSC-sEV-001) Therapy,PHASE1,,NOT_YET_RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT07232563,0,2025-12-28 13:57:48,0.644,0.644,NO
NCT07227740,Testosterone Deficiency and Endothelial Dysfunction After Spinal Cord Injury,"Heart attacks and strokes are among the most common causes of premature death in individuals living with spinal cord injury (SCI) and appear to occur earlier in life. The factors that lead to the heighten and accelerated risk of heart attacks and strokes in adults living with SCI remain poorly understood. The investigators aim to uncover why this happens and find ways to prevent it. Our research focuses on how important cells which line blood vessels, called endothelial cells, function after SCI. The investigators test endothelial function in live conscious people with SCI. The investigators also study signaling molecules endothelial cells release called endothelial cell derived microvesicles (EMVs), which the investigators can measure in blood to tell us the health of endothelial cells. By using these rigorous tests of vascular function, the investigators have determined that endothelial cells appear dysfunctional after SCI. The investigators also know that many men with SCI have low testosterone levels. Our team has studied testosterone's effects on endothelial dysfunction and believe low testosterone may be contributing to endothelial dysfunction after SCI. By understanding these mechanisms, the investigators hope to improve the lives of those living with SCI and reduce their risk for heart attacks and strokes. The investigators propose to study the influence of testosterone on endothelial function by using state-of-the-art clinical and laboratory experiments to assess endothelial function in men with SCI with low and normal testosterone levels.",Spinal Cord Injuries; Endothelial Dysfunction; Testosterone Deficiency,Intra-arterial Infusion of Vasoactive Agents; Intra-arterial Vitamin C Infusion; Blood Sampling,,,RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT07227740,1,2025-12-28 13:57:48,0.3149,0.6149,NO
NCT06138210,The Effect of GD-iExo-003 in Acute Ischemic Stroke,"This is a multicenter, randomized, double-blinded, placebo-controlled, dose-escalation trial. The objective of this study is evaluating safety and preliminary efficacy of intravenous exosomes derived from human induced pluripotent stem cell (GD-iExo-003) in acute ischemic stroke.",Acute Ischemic Stroke,exosomes derived from human induced pluripotent stem cell for injection; a placebo of exosomes derived from human induced pluripotent stem cell for injection,PHASE1; PHASE2,,RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT06138210,0,2025-12-28 13:57:48,0.6296,0.6296,NO
NCT07065409,Treatment of Moyamoya Disease With iPSC-derived Exosomes,"Moyamoya disease is a cerebrovascular disease clinically characterized by chronic progressive stenosis or occlusion at the ends of bilateral internal carotid arteries and the origin of anterior cerebral arteries and middle cerebral arteries, followed by the formation of abnormal vascular networks at the base of the skull. Clinically, patients with Moyamoya disease mainly present with ischemic or hemorrhagic stroke, and there are two peaks of incidence in children aged 3-5 and middle-aged people aged 40-50. Moreover, as the pathogenesis and treatment evaluation of Moyamoya disease are still in the research trough at present, new discoveries are prone to occur and thus attract a great deal of attention. It not only has a beneficial promoting effect on the treatment and diagnosis of patients, but also makes it easier for research topics to be reported in top journals.

This study intends to combine iPSC-EVs local skin transplantation with temporal muscle application to promote muscle angiogenesis and the establishment of extracranial and intracranial collateral circulation after temporal muscle application. The above-mentioned design features high efficiency, safety and convenience, and is an innovative exploration both at home and abroad. We hope to screen out safe, efficient and simple preparation methods and transplantation methods of iPSC-EVs through systematic experiments, establish an effective clinical evaluation system, and provide auxiliary means for intracranial and extracranial blood flow reconstruction surgery in the treatment of Moyamoya disease. Moreover, in terms of topic selection, iPSC is currently one of the most promising directions for innovative treatment worldwide.",Moyamoya Disease,iPSC-EVs,PHASE1,,RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT07065409,0,2025-12-28 13:57:48,0.4576,0.4576,NO
NCT07334743,Identifying Biomarkers in ALS Patients Using Neuronal Derived Extracellular Vesicles,"Rationale. ENGRAILED1 (EN1) is under consideration as a therapeutic approach for amyotrophic lateral sclerosis (ALS). To assess EN1 target engagement in patients, we aim to identify EN1-responsive biomarkers suitable as Prentice-style surrogate endpoints. We will discover candidates by RNA-seq of neuron-derived extracellular vesicles (NVEC) immuno-isolated from blood. Establishing such biomarkers would enable and de-risk early-phase (I/II) EN1 trials.

Primary endpoint. Discovery: RNA-seq identification of circulating NVEC-borne biomarkers that differ between sporadic ALS patients and healthy controls.

EN1 modulation: Demonstration that these biomarkers are modulated by EN1 in En1+/- mouse models and in ALS patient iPSC-derived motor neurons.

Design. Prospective cohort, N=60 (30 sporadic ALS; 30 healthy controls matched on age/sex).

Population. Adults undergoing diagnostic work-up for suspected sporadic ALS; healthy volunteers without neurological disease.

Key procedures and timeline. Baseline (M0, inpatient): ALSFRS-R, MRC, hand dynamometry, eye-movement recording (MOC); NCS/EMG (NUMIX), TMS/MEP with cortical excitability; neuropsychology; brain \& spinal MRI; pulmonary function testing; CSF (10 mL) and blood (15 mL) for clinical labs and research (NVEC immunocapture → RNA-seq; proteomics).

Follow-up: M6 clinic visit (repeat clinical/electrophysiology/neuropsychology/PFTs as per care) with blood (15 mL); additional routine follow-ups at M12, M18, M24 (clinical; MOC at M12 and M24).

Controls: single visit with blood (3×5 mL EDTA) and cortical excitability; brain MRI for targeting.

Sample size. 60 participants total (30 ALS, 30 controls).",Amyotrophic Lateral Sclerosis; ENGRAILED1,,,,RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT07334743,1,2026-01-14 16:39:52,0.4312,0.5312,NO
NCT06612710,The Safety and Efficacy of NouvSoma001 in Ischemic Stroke,"This is a single-center, randomized, open-label, placebo-controlled, dose-escalation trial. The objective of this research is to evaluate the safety, tolerability, and preliminary efficacy of intravenous administration of human-induced neural stem cell-derived extracellular vesicles (NouvSoma001) in the treatment of ischemic stroke.",Ischemic Stroke,extracellular vesicles derived from human induced neural stem cell for intravenous injection; a placebo of extracellular vesicles derived from human induced neural stem cell for intravenous injection,PHASE1,,RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT06612710,0,2026-01-21 17:03:23,0.5719,0.6719,NO
NCT07398612,Safety and Efficacy of Human Adipose-Derived Stem Cell Exosomes in Acute Ischemic Stroke,"This is a Phase I/II, randomized, double-blind, placebo-controlled, single/multiple ascending dose clinical study (Investigator-Initiated Trial, IIT) evaluating the safety and efficacy of Human Adipose-Derived Stem Cell Exosomes (ADSC-exo, STX11102 Nasal Spray) in treating acute ischemic stroke (AIS). The study consists of two sequential parts: a Single-Ascending Dose (SAD) study and a Multiple-Ascending Dose (MAD) study.

The SAD part will enroll 12 subjects with mild stroke (NIHSS 1-4). They will be sequentially enrolled into three dose cohorts (4 subjects each: 2×10⁹, 4×10⁹, and 8×10⁹ particles/mL) to receive a single nasal spray dose alongside standard care, with safety monitoring for 14 days. Dose escalation is contingent upon the safety review of the preceding cohort.

Upon confirming safety, the study proceeds to the MAD part, which will enroll 48 subjects with moderate stroke (NIHSS 5-12). They will be randomized into two dose groups (Low and High Dose), each containing an active treatment arm and a placebo arm (saline) in a 2:1 ratio (16 active:8 placebo per group). Subjects will self-administer the nasal spray daily for 14 days, with follow-up until Day 90. The primary objective is to evaluate safety, with secondary objectives assessing efficacy via neurological function scales (NIHSS, mRS, BI) and infarct volume change on MRI.",Acute Ischemic Stroke,Human Adipose-Derived Stem Cell Exosomes; Placebo,PHASE1; PHASE2,,NOT_YET_RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT07398612,0,2026-02-11 17:11:36,0.4986,0.4986,NO
NCT07439965,Investigation of Protein Heterogeneity in Extracellular Vesicles Derived From Different Human Blood Circulatory Regions,"The goal of this observational study is to learn about the protein heterogeneity in extracellular vesicles (EVs) derived from different human blood circulatory regions of patients with ruptured or unruptured intracranial aneurysms. The main objectives are:

Reveal the proteomic heterogeneity of EVs in different blood circulatory regions of the human body。 Reveal the proteomic differences of EVs in cerebral feeding arteries and draining veins between patients with aneurysmal subarachnoid hemorrhage and those without hemorrhage.

Explore EV-derived protein biomarkers that reflect the diagnosis and prognosis of subarachnoid hemorrhage",Subarachnoid Aneurysm Hemorrhage; Unruptured Intracranial Aneurysm,,,,RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT07439965,0,2026-03-04 16:56:37,0.4391,0.4391,NO
NCT06104930,Plasma Extracellular Vesicles in Meningioma Patients,"While surgical resection remains the primary treatment approach for symptomatic or growing meningiomas, radiotherapy represents an auspicious alternative in patients with meningiomas not safely amenable to surgery. Biopsies are often omitted in light of potential postoperative neurological deficits, resulting in a lack of histological grading and (molecular) risk stratification. In this prospective explorative biomarker study, extracellular vesicles in the bloodstream will be investigated in patients with macroscopic meningiomas to identify a biomarker for molecular risk stratification and disease monitoring.",Meningioma,Explorative biomarker study,NA,,RECRUITING,,,,,,https://clinicaltrials.gov/study/NCT06104930,0,2026-03-11 17:01:35,0.4645,0.4645,NO
