country,publication_number,kind,title,applicants,inventors,first_claim,publication_date,priority_date,relevance_score,source,link,date_added,is_new
EP,4132584,A1,MANUFACTURING OF SYNTHETIC EXOSOMES FOR CNS AND NON-CNS DELIVERY OF THERAPEUTICS,"UNIV CALIFORNIA [US], THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","CAMPAGNA JESUS [US], JOHN VARGHESE [US], CAMPAGNA, Jesus,",,20230215,20200407,0.7935425043106079,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DEP4132584,02/12/2025,NO
EP,3161482,A1,METHOD FOR ENRICHING CNS-DERIVED EXOSOMES,"XY EVERGREEN TECH COMPANY [CN], XY Evergreen Technology Company","ZHANG JING [US], ZHANG, Jing",,20170503,20140627,0.75,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DEP3161482,2026-02-11,NO
EP,4401782,A1,SYNTHETIC EXOSOMES (SE) FOR CNS DELIVERY OF CRISPR FOR GENE EDITING IN BRAIN DISORDERS,"THE REGENTS OF UNIV OF CALIFORNIA [US], The Regents of University of California","JOHN VARGHESE [US], CAMPAGNA JESUS [US], JOHN, Varghese,",,20240724,20210914,0.7361968755722046,EPO,https://worldwide.espacenet.com/patent/search?q=pn%3DEP4401782,02/12/2025,NO
US,2023285291,A1,MANUFACTURING OF SYNTHETIC EXOSOMES FOR CNS AND NON-CNS DELIVERY OF THERAPEUTICS,"UNIV CALIFORNIA [US], The Regents of the University of California","CAMPAGNA JESUS [US], JOHN VARGHESE [US], Campagna, Jesus,",,20230914,20200407,0.7222238779067993,EPO,https://patents.google.com/patent/US2023285291,02/12/2025,NO
WO,2023091904,A1,A NOVEL WAY FOR BRAIN-SPECIFIC DELIVERY OF MOLECULES FOR THE TREATMENT OF BRAIN DISEASES,"WEST VIRGINIA UNIV BOARD OF GOVERNORS ON BEHALF OF WEST VIRGINIA UNIV [US], WEST VIRGINIA UNIVERSITY BOARD OF GOVERNORS ON BEHALF OF WEST VIRGINIA UNIVERSITY","SARKAR SAUMYENDRA [US], SIMPKINS JAMES [US], SARKAR, Saumyendra,",,20230525,20211116,0.7222204208374023,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023091904,02/12/2025,NO
US,2025032550,A1,A NOVEL WAY FOR BRAIN-SPECIFIC DELIVERY OF MOLECULES FOR THE TREATMENT OF BRAIN DISEASES,"WEST VIRGINIA UNIV BOARD OF GOVERNORS ON BEHALF OF WEST VIRGINIA UNIV [US], West Virginia University Board of Governors on behalf of West Virginia University","SARKAR SAUMYENDRA [US], SIMPKINS JAMES W [US], SARKAR, Saumyendra,",,20250130,20211116,0.7222204208374023,EPO,https://patents.google.com/patent/US2025032550,02/12/2025,NO
WO,2021207273,A1,MANUFACTURING OF SYNTHETIC EXOSOMES FOR CNS AND NON-CNS DELIVERY OF THERAPEUTICS,"UNIV CALIFORNIA [US], THE REGENTS OF THE UNIVERSITY OF CALIFORNIA","CAMPAGNA JESUS [US],  JOHN VARGHESE [US], CAMPAGNA, Jesus, ",,20211014,20200407,0.69,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021207273,2026-02-11,NO
WO,2026035725,A1,USE OF BRAIN-DERIVED EXOSOMES IN NEURODEGENERATIVE DISEASES,"IO THERAPEUTICS INC [US],  NEURODEX INC [US], IO THERAPEUTICS, INC, ","SANDERS MARTIN E [US],  VULIGONDA VIDYASAGAR [US],  EITAN EREZ [US]",,20260212,20240805,0.68,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2026035725,2026-03-01,NO
US,2017102397,A1,METHOD FOR ENRICHING CNS-DERIVED EXOSOMES,"XY EVERGEEN TECH COMPANY [CN],  XY EVERGREEN TECH COMPANY [CN], XY EVERGEEN TECHNOLOGY COMPANY, ","ZHANG JING [US], ZHANG Jing",,20170413,20150626,0.67,EPO,https://patents.google.com/patent/US2017102397,2026-02-11,NO
WO,2021184017,A1,EXTRACELLULAR VESICLES FOR TREATING NEUROLOGICAL DISORDERS,"CODIAK BIOSCIENCES INC [US], CODIAK BIOSCIENCES, INC","VERMA AJAY [US],  SOOS TIM [US],  ROSS NIKKI [US]",,20210916,20200313,0.66,EPO,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021184017,2026-02-11,NO
